,dateList,unitnetvalueList,netvalueList
0,2018-03-30,2.214,2.214
1,2018-03-29,2.219,2.219
2,2018-03-28,2.156,2.156
3,2018-03-27,2.236,2.236
4,2018-03-26,2.252,2.252
5,2018-03-23,2.275,2.275
6,2018-03-22,2.308,2.308
7,2018-03-21,2.363,2.363
8,2018-03-20,2.385,2.385
9,2018-03-19,2.404,2.404
10,2018-03-16,2.401,2.401
11,2018-03-15,2.431,2.431
12,2018-03-14,2.393,2.393
13,2018-03-13,2.385,2.385
14,2018-03-12,2.402,2.402
15,2018-03-09,2.401,2.401
16,2018-03-08,2.39,2.39
17,2018-03-07,2.337,2.337
18,2018-03-06,2.339,2.339
19,2018-03-05,2.334,2.334
20,2018-03-02,2.358,2.358
21,2018-03-01,2.354,2.354
22,2018-02-28,2.341,2.341
23,2018-02-27,2.373,2.373
24,2018-02-26,2.423,2.423
25,2018-02-23,2.416,2.416
26,2018-02-22,2.428,2.428
27,2018-02-14,2.367,2.367
28,2018-02-13,2.333,2.333
29,2018-02-12,2.312,2.312
30,2018-02-09,2.242,2.242
31,2018-02-08,2.288,2.288
32,2018-02-07,2.265,2.265
33,2018-02-06,2.348,2.348
34,2018-02-05,2.379,2.379
35,2018-02-02,2.451,2.451
36,2018-02-01,2.461,2.461
37,2018-01-31,2.485,2.485
38,2018-01-30,2.445,2.445
39,2018-01-29,2.461,2.461
40,2018-01-26,2.545,2.545
41,2018-01-25,2.526,2.526
42,2018-01-24,2.531,2.531
43,2018-01-23,2.563,2.563
44,2018-01-22,2.554,2.554
45,2018-01-19,2.457,2.457
46,2018-01-18,2.487,2.487
47,2018-01-17,2.484,2.484
48,2018-01-16,2.54,2.54
49,2018-01-15,2.536,2.536
50,2018-01-12,2.527,2.527
51,2018-01-11,2.485,2.485
52,2018-01-10,2.505,2.505
53,2018-01-09,2.47,2.47
54,2018-01-08,2.411,2.411
55,2018-01-05,2.39,2.39
56,2018-01-04,2.385,2.385
57,2018-01-03,2.347,2.347
58,2018-01-02,2.342,2.342
