,dateList,unitnetvalueList,netvalueList
0,2018-01-30,2.666,3.046
1,2018-01-29,2.665,3.045
2,2018-01-26,2.723,3.103
3,2018-01-25,2.723,3.103
4,2018-01-24,2.74,3.12
5,2018-01-23,2.731,3.111
6,2018-01-22,2.728,3.108
7,2018-01-19,2.683,3.063
8,2018-01-18,2.686,3.066
9,2018-01-17,2.677,3.057
10,2018-01-16,2.689,3.069
11,2018-01-15,2.687,3.067
12,2018-01-12,2.72,3.1
13,2018-01-11,2.738,3.118
14,2018-01-10,2.734,3.114
15,2018-01-09,2.757,3.137
16,2018-01-08,2.744,3.124
17,2018-01-05,2.754,3.134
18,2018-01-04,2.757,3.137
19,2018-01-03,2.743,3.123
20,2018-01-02,2.711,3.091
21,2017-12-29,2.675,3.055
22,2017-12-28,2.652,3.032
23,2017-12-27,2.648,3.028
24,2017-12-26,2.671,3.051
25,2017-12-25,2.665,3.045
26,2017-12-22,2.707,3.087
27,2017-12-21,2.721,3.101
28,2017-12-20,2.691,3.071
29,2017-12-19,2.701,3.081
30,2017-12-18,2.676,3.056
31,2017-12-15,2.682,3.062
32,2017-12-14,2.7,3.08
33,2017-12-13,2.696,3.076
34,2017-12-12,2.689,3.069
35,2017-12-11,2.704,3.084
36,2017-12-08,2.686,3.066
37,2017-12-07,2.657,3.037
38,2017-12-06,2.675,3.055
39,2017-12-05,2.659,3.039
40,2017-12-04,2.715,3.095
41,2017-12-01,2.709,3.089
42,2017-11-30,2.687,3.067
43,2017-11-29,2.711,3.091
44,2017-11-28,2.705,3.085
45,2017-11-27,2.667,3.047
46,2017-11-24,2.681,3.061
47,2017-11-23,2.692,3.072
48,2017-11-22,2.763,3.143
49,2017-11-21,2.789,3.169
50,2017-11-20,2.789,3.169
51,2017-11-17,2.756,3.136
52,2017-11-16,2.823,3.203
53,2017-11-15,2.806,3.186
54,2017-11-14,2.849,3.229
55,2017-11-13,2.873,3.253
56,2017-11-10,2.851,3.231
57,2017-11-09,2.842,3.222
58,2017-11-08,2.818,3.198
59,2017-11-07,2.804,3.184
60,2017-11-06,2.786,3.166
61,2017-11-03,2.755,3.135
62,2017-11-02,2.781,3.161
63,2017-11-01,2.82,3.2
64,2017-10-31,2.839,3.219
65,2017-10-30,2.82,3.2
66,2017-10-27,2.844,3.224
67,2017-10-26,2.865,3.245
68,2017-10-25,2.869,3.249
69,2017-10-24,2.834,3.214
70,2017-10-23,2.829,3.209
71,2017-10-20,2.81,3.19
72,2017-10-19,2.779,3.159
73,2017-10-18,2.792,3.172
